shot,elapsed_s,ms
1,1788052015.937,232.6
2,1788052016.160,214.3
3,1788052016.388,221.1
4,1788052016.616,219.7
5,1788052016.846,221.6
6,1788052017.076,223.3
7,1788052017.303,221.2
8,1788052017.528,219.9
9,1788052017.759,224.5
10,1788052017.978,214.0
11,1788052018.197,214.2
12,1788052018.426,223.4
